Nama Hotel,Rating,Bintang,Harga,Alamat,Image,Budget_Range,Id_hotel
Griya Jogja Hotel,"4,20",,413328,"Jl. Pakuningratan No.3, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh3.googleusercontent.com/gps-proxy/AMy85WKFv_R6v5ccEkBkuuQ6JNtaLffUSl0rVl7br9VO5X7x04LBsQL_D1SHHCieCP7XUjHL3Phz_DYkQkGGs-TpmUgbAEnW3OrpOol_qGwjkLJEHFeoR_yutJyYrjVuuKML6CzdxfPkI4h3mjf3rUXQOiIHEVr3tTMXDbtlIUwmxYFyKPhUSLuv2Rhl=w408-h272-k-no,Afordable,50
Hotel Citradream Yogyakarta,"4,30",Hotel bintang 2,406774,"Jl. A.M. Sangaji No.28, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh5.googleusercontent.com/p/AF1QipN4sl5pOjBzYJ8Lw14nguxDtLFIywq3uzp-6BEP=w408-h272-k-no,Afordable,5
Hotel Orlen Yogyakarta,"4,20",Hotel bintang 2,401427,"YAP SQUARE B11, Blok B-3, Jl. C. Simanjuntak No.2, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",https://lh5.googleusercontent.com/p/AF1QipMuzefzgdCX5bqkPqsxlSov_t9ZqFcYzcMI5HPD=w408-h408-k-no,Afordable,10
Amaris Hotel Malioboro Jogja,"4,30",Hotel bintang 2,393333,"Jl. Pajeksan No.10, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",https://lh3.googleusercontent.com/gps-proxy/AMy85WJCZksHrZewWRGAnoqp-o-wGLaLaa2AmnV_Z_FfXDkhWgD7y5-uyTKGQ4mWkgknkemxSt9QdjBOMT7pzx0WMW__gDtDX7RjYD91yTQTLfbZcSZIkX3jtxz6fNNuSif4hUBZmFvEdYKjRiM04s7SIg6_3qJxdtJXzzhoXLReZJtR-7hYiCkMm6hs=w408-h247-k-no,Afordable,3
Cakra Kusuma,"4,20",Hotel bintang 3,390156,"Jl. Kaliurang No.25 KM.5,2, Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",https://lh3.googleusercontent.com/gps-proxy/AMy85WL6fXU6rJAekICJc1OwRxZy7NjPJx85faFMMHG0tSBHu-nvnzKXut4vzwQA0wlhQdEksp7bfpUkJuj-TZRcOqp6wIxdJmV5mkssELfy6Znq_S6K_Ax-00uNQtw-KmvO1UJRRSDTh5EMyBBmdxW_gHYe9zNvT8QYfZ71Mb7veOHo47n1gFNLVR0=w437-h240-k-no,Afordable,42
The Cabin Hotel Gandekan,"4,30",Hotel bintang 1,370147,"Jl. Gandekan Lor No.2, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipO-K_jTk1Eam5lua2O7dncDzBoXdv8q2lS2fLQZ=w408-h612-k-no,Afordable,54
Sans Hotel Ekkon Yogyakarta,"4,10",Hotel bintang 2,366941,"Cokro Square, Jl. HOS Cokroaminoto, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",https://lh3.googleusercontent.com/gps-proxy/AMy85WLa0HKOf0cmGviyjcXtZs6b1HN4VI9wwEtw_3T5orMSkXiAsKSXSURBH1Lw7ix1J6tdSpMKoQ7e_y1tY5vwCuLLsFkn1B_0aoz9NbrEzl6ruh-l3oovaQQ_Rs3835ovCOZRE7N6N9nCouc_MpYloWO1ylTDdChCIuoZbQR9Tq-gXfXCNG5kwlimQuMrq9KMwo78DA=w408-h306-k-no,Afordable,38
Puri Artha Hotel,"4,30",Hotel bintang 3,345858,"Jl. Cenderawasih Jl. Demangan Baru No.36, Demangan Baru, Demangan, Kec. Gondokusuman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",https://lh5.googleusercontent.com/p/AF1QipOvaIFeqBVgglbeby5mZ8BTapPJ5Emu4KfMqqLX=w408-h272-k-no,Afordable,44
Adya Nalendra Boutique Hotel,"4,10",Hotel bintang 3,304051,"Jl. Tri Margo Kulon No.9A, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",https://lh5.googleusercontent.com/p/AF1QipOEhdz1NSrRkJEJLGArDHsTPUBRVSZbhbD5sk9G=w408-h611-k-no,Afordable,49
Front One Cabin Malioboro Jogja,"4,60",Hotel bintang 3,293856,"Jl. Jagalan - Beji Jl. Beji No.61, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",https://lh5.googleusercontent.com/p/AF1QipOFuXtrQaWmtR1rcSBN0ffwnlriDxFFlgI1Xujf=w408-h272-k-no,Afordable,4
